Index,Combined,Division,Dept,Course_x,Class#,Session,Modality,Component,Start,End,Days,Instructor,Room,Starting Enrollment,Current Enrollment,Capacity,Perc Drop,Graded Count,Success Count,Success Rate
402,0,FAC,DANC,DANC 100,29825,6B,ONLINE,Lecture,TBA,0,0,Rosa,ONLINE,39,24,40,0.384615385,27,12,0.444444444
403,0,FAC,DANC,DANC 100,22679,9A,ONLINE,Lecture,TBA,0,0,Hathaway,ONLINE,40,35,40,0.125,37,33,0.891891892
404,0,FAC,DANC,DANC 100,22083,9A,ONLINE,Lecture,TBA,0,0,Hathaway,ONLINE,40,22,40,0.45,26,16,0.615384615
405,0,FAC,DANC,DANC 100,27555,9A,ONLINE,Lecture,TBA,0,0,Gregory,ONLINE,41,35,40,0.146341463,37,31,0.837837838
406,0,FAC,DANC,DANC 100,28158,9A,ONLINE,Lecture,TBA,0,0,Gregory,ONLINE,41,23,40,0.43902439,23,19,0.826086957
407,0,FAC,DANC,DANC 100,31150,9B,ONLINE,Lecture,TBA,0,0,Gregory,ONLINE,42,27,40,0.357142857,26,18,0.692307692
408,0,FAC,DANC,DANC 100,31151,9B,ONLINE,Lecture,TBA,0,0,Hathaway,ONLINE,44,30,40,0.318181818,34,26,0.764705882
409,0,FAC,DANC,DANC 100,26742,9B,ONLINE,Lecture,TBA,0,0,Gregory,ONLINE,43,34,40,0.209302326,38,29,0.763157895
410,0,FAC,DANC,DANC 100,28682,9B,ONLINE,Lecture,TBA,0,0,Hathaway,ONLINE,51,22,40,0.568627451,25,18,0.72
411,0,FAC,DANC,DANC 101,27703,18,ONLINE,Lecture,TBA,0,0,Berney,ONLINE,43,26,40,0.395348837,38,26,0.684210526
412,0,FAC,DANC,DANC 101,30220,15B,ONLINE,Lecture,TBA,0,0,Wicks,ONLINE,31,16,40,0.483870968,19,8,0.421052632
413,0,FAC,DANC,DANC 101,33102,15B,ONLINE,Lecture,TBA,0,0,Horner,ONLINE,40,38,0,0.05,40,33,0.825
414,0,FAC,DANC,DANC 101,31153,9B,ONLINE,Lecture,TBA,0,0,Berney,ONLINE,47,23,40,0.510638298,36,22,0.611111111
415,0,FAC,DANC,DANC 101,31621,9B,ONLINE,Lecture,TBA,0,0,Horner,ONLINE,53,24,40,0.547169811,32,18,0.5625
416,DANC 102/PEX 104D,FAC,DANC,DANC 102,32765,18,IN PERSON,Lecture,13:00,13:15,MW,Roman-Rodriguez,DS101,1,1,15,0,1,0,0
417,DANC 103/PEX 156/157,FAC,DANC,DANC 103,32769,18,IN PERSON,Lecture,8:00,8:15,TuTh,Hathaway,DS115,8,7,25,0.125,7,6,0.857142857
418,DANC 105/112,FAC,DANC,DANC 105,21802,18,IN PERSON,Lecture,9:00,9:30,TuTh,Hathaway,DS115,23,11,25,0.52173913,11,11,1
